p,propLabel,eff
http://www.wikidata.org/prop/direct/P496,ORCID iD,1
http://www.wikidata.org/prop/direct/P586,IPNI author ID,1
http://www.wikidata.org/prop/direct/P598,commander of (DEPRECATED),1
http://www.wikidata.org/prop/direct/P611,religious order,1
http://www.wikidata.org/prop/direct/P723,Digitale Bibliotheek voor de Nederlandse Letteren author ID,1
http://www.wikidata.org/prop/direct/P737,influenced by,1
http://www.wikidata.org/prop/direct/P839,IMSLP ID,1
http://www.wikidata.org/prop/direct/P835,author citation (zoology),1
http://www.wikidata.org/prop/direct/P941,inspired by,1
http://www.wikidata.org/prop/direct/P1053,ResearcherID,1
http://www.wikidata.org/prop/direct/P1142,political ideology,1
http://www.wikidata.org/prop/direct/P1150,Regensburg Classification,1
http://www.wikidata.org/prop/direct/P1146,World Athletics athlete ID,1
http://www.wikidata.org/prop/direct/P1233,Internet Speculative Fiction Database author ID,1
http://www.wikidata.org/prop/direct/P1248,KulturNav-ID,1
http://www.wikidata.org/prop/direct/P1258,Rotten Tomatoes ID,1
http://www.wikidata.org/prop/direct/P1266,AlloCiné person ID,1
http://www.wikidata.org/prop/direct/P1285,Munzinger Sport number,1
http://www.wikidata.org/prop/direct/P1299,depicted by,1
http://www.wikidata.org/prop/direct/P1309,EGAXA ID,1
http://www.wikidata.org/prop/direct/P1317,floruit,1
http://www.wikidata.org/prop/direct/P1327,partner in business or sport,1
http://www.wikidata.org/prop/direct/P1340,eye color,1
http://www.wikidata.org/prop/direct/P1366,replaced by,1
http://www.wikidata.org/prop/direct/P1367,Art UK artist ID,1
http://www.wikidata.org/prop/direct/P1409,Cycling Archives cyclist ID,1
http://www.wikidata.org/prop/direct/P1415,Oxford Dictionary of National Biography ID,1
http://www.wikidata.org/prop/direct/P1617,BBC Things ID,1
http://www.wikidata.org/prop/direct/P1636,date of baptism,1
http://www.wikidata.org/prop/direct/P1635,religious name,1
http://www.wikidata.org/prop/direct/P1663,ProCyclingStats cyclist ID,1
http://www.wikidata.org/prop/direct/P1728,AllMusic artist ID,1
http://www.wikidata.org/prop/direct/P1766,place name sign,1
http://www.wikidata.org/prop/direct/P1884,hair color,1
http://www.wikidata.org/prop/direct/P1899,LibriVox author ID,1
http://www.wikidata.org/prop/direct/P1977,Les Archives du spectacle person ID,1
http://www.wikidata.org/prop/direct/P1988,Le Delarge artist ID,1
http://www.wikidata.org/prop/direct/P2006,ZooBank author ID,1
http://www.wikidata.org/prop/direct/P2005,Catalogus Professorum Halensis ID,1
http://www.wikidata.org/prop/direct/P2019,AllMovie person ID,1
http://www.wikidata.org/prop/direct/P2042,Artsy artist ID,1
http://www.wikidata.org/prop/direct/P2041,National Gallery of Victoria artist ID,1
http://www.wikidata.org/prop/direct/P2048,height,1
http://www.wikidata.org/prop/direct/P2067,mass,1
http://www.wikidata.org/prop/direct/P2091,World Rowing rower ID,1
http://www.wikidata.org/prop/direct/P2174,Museum of Modern Art artist ID,1
http://www.wikidata.org/prop/direct/P2168,Swedish Film Database person ID,1
http://www.wikidata.org/prop/direct/P2191,Vegetti Catalog of Fantastic Literature NILF ID,1
http://www.wikidata.org/prop/direct/P2252,National Gallery of Art artist ID,1
http://www.wikidata.org/prop/direct/P2280,Austrian Parliament ID,1
http://www.wikidata.org/prop/direct/P2412,FMD designer ID,1
http://www.wikidata.org/prop/direct/P2456,DBLP author ID,1
http://www.wikidata.org/prop/direct/P2481,Elite Prospects player ID,1
http://www.wikidata.org/prop/direct/P2538,Nationalmuseum Sweden ID,1
http://www.wikidata.org/prop/direct/P2650,interested in,1
http://www.wikidata.org/prop/direct/P2750,Photographers’ Identities Catalog ID,1
http://www.wikidata.org/prop/direct/P2767,JudoInside judoka ID,1
http://www.wikidata.org/prop/direct/P2772,FIS alpine skier ID,1
http://www.wikidata.org/prop/direct/P2850,Apple Music artist ID (U.S. version),1
http://www.wikidata.org/prop/direct/P2889,FamilySearch person ID,1
http://www.wikidata.org/prop/direct/P3029,UK National Archives ID,1
http://www.wikidata.org/prop/direct/P3074,Grace's Guide ID,1
http://www.wikidata.org/prop/direct/P3154,Runeberg author ID,1
http://www.wikidata.org/prop/direct/P3342,significant person,1
http://www.wikidata.org/prop/direct/P3361,PictoRight ID code,1
http://www.wikidata.org/prop/direct/P3453,IPI base code,1
http://www.wikidata.org/prop/direct/P3618,base salary,1
http://www.wikidata.org/prop/direct/P3684,Driver Database driver ID,1
http://www.wikidata.org/prop/direct/P3887,KVAB member ID,1
http://www.wikidata.org/prop/direct/P3888,Boijmans artist ID,1
http://www.wikidata.org/prop/direct/P3965,Bridgeman artist ID,1
http://www.wikidata.org/prop/direct/P3980,Unifrance person ID,1
http://www.wikidata.org/prop/direct/P4012,Semantic Scholar author ID,1
http://www.wikidata.org/prop/direct/P4177,Finnish National Gallery artist ID,1
http://www.wikidata.org/prop/direct/P4200,Christie's creator ID,1
http://www.wikidata.org/prop/direct/P4252,All-Russian Mathematical Portal ID,1
http://www.wikidata.org/prop/direct/P4124,Who's Who in France biography ID,1
http://www.wikidata.org/prop/direct/P4145,Athenaeum person ID,1
http://www.wikidata.org/prop/direct/P4369,Cairn author ID,1
